product,stage,chara,result,unit
800×800干法原石,生产制造阶段,富营养化,0.002126183104736516,kg PO43- eq
800×800干法原石,生产制造阶段,不可再生资源消耗,1.438458915650839e-05,kg antimony eq
800×800干法原石,生产制造阶段,中国化石能源消耗,17.31873691929337,kg coal eq
800×800干法原石,销售阶段,全球变暖,2.2742517828324,kg CO2 eq
800×800干法原石,销售阶段,光化学烟雾,0.00175172472961416,kg C2H4 eq
800×800干法原石,销售阶段,酸化效应,0.04642936165644001,kg SO2 eq
800×800干法原石,销售阶段,富营养化,0.008341546331496,kg PO43- eq
800×800干法原石,销售阶段,不可再生资源消耗,7.790689498284e-06,kg antimony eq
800×800干法原石,销售阶段,中国化石能源消耗,13.141870163772,kg coal eq
800×800湿法原石,原材料采集阶段_资源,全球变暖,1.354388552146195,kg CO2 eq
800×800湿法原石,原材料采集阶段_资源,光化学烟雾,0.0002849646640695227,kg C2H4 eq
800×800湿法原石,原材料采集阶段_资源,酸化效应,0.02852270256639282,kg SO2 eq
800×800湿法原石,原材料采集阶段_资源,富营养化,0.001295658410898587,kg PO43- eq
800×800湿法原石,原材料采集阶段_资源,不可再生资源消耗,9.667382926142762e-05,kg antimony eq
800×800湿法原石,原材料采集阶段_资源,中国化石能源消耗,7.716416073873441,kg coal eq
800×800湿法原石,原材料采集阶段_能源,全球变暖,5.833111048324261,kg CO2 eq
800×800湿法原石,原材料采集阶段_能源,光化学烟雾,0.0007685583692880632,kg C2H4 eq
800×800湿法原石,原材料采集阶段_能源,酸化效应,0.03788208041008403,kg SO2 eq
800×800湿法原石,原材料采集阶段_能源,富营养化,0.001962215720593978,kg PO43- eq
800×800湿法原石,原材料采集阶段_能源,不可再生资源消耗,1.200008899982658e-05,kg antimony eq
800×800湿法原石,原材料采集阶段_能源,中国化石能源消耗,39.1964826670872,kg coal eq
800×800湿法原石,生产制造阶段,全球变暖,21.08118931138095,kg CO2 eq
800×800湿法原石,生产制造阶段,光化学烟雾,0.0003541347065878648,kg C2H4 eq
800×800湿法原石,生产制造阶段,酸化效应,0.0160576549323863,kg SO2 eq
800×800湿法原石,生产制造阶段,富营养化,0.001799410210508223,kg PO43- eq
800×800湿法原石,生产制造阶段,不可再生资源消耗,1.21738229151222e-05,kg antimony eq
800×800湿法原石,生产制造阶段,中国化石能源消耗,14.65702176649744,kg coal eq
800×800湿法原石,销售阶段,全球变暖,1.9247222265,kg CO2 eq
800×800湿法原石,销售阶段,光化学烟雾,0.0014825023101,kg C2H4 eq
800×800湿法原石,销售阶段,酸化效应,0.03929363715,kg SO2 eq
800×800湿法原石,销售阶段,富营养化,0.007059534809999999,kg PO43- eq
800×800湿法原石,销售阶段,不可再生资源消耗,6.593339114999999e-06,kg antimony eq
800×800湿法原石,销售阶段,中国化石能源消耗,11.122097295,kg coal eq
900x900干法原石,原材料采集阶段_资源,全球变暖,3.086743199183647,kg CO2 eq
900x900干法原石,原材料采集阶段_资源,光化学烟雾,0.0006420157123480455,kg C2H4 eq
900x900干法原石,原材料采集阶段_资源,酸化效应,0.0648931747717754,kg SO2 eq
900x900干法原石,原材料采集阶段_资源,富营养化,0.002921082896125639,kg PO43- eq
900x900干法原石,原材料采集阶段_资源,不可再生资源消耗,0.0001957328600398222,kg antimony eq
900x900干法原石,原材料采集阶段_资源,中国化石能源消耗,17.53245207009414,kg coal eq
900x900干法原石,原材料采集阶段_能源,全球变暖,6.892404014699946,kg CO2 eq
900x900干法原石,原材料采集阶段_能源,光化学烟雾,0.0009081285691507752,kg C2H4 eq
